ASV	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
ASV_01277	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Fragilariopsis	Fragilariopsis_sublineata
ASV_01278	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Tintinnida	Favellidae	Favella	Favella_ehrenbergii
ASV_01279	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-III	Dino-Group-III_X	Dino-Group-III_XX	Dino-Group-III_XX_sp.
ASV_01280	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Gregarinomorphea_X	Gregarinomorphea_XX	Selenidium1	Selenidium1_sp.
ASV_01281	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Centropages	Centropages_hamatus
ASV_01282	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_spirale
ASV_01283	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Amphora	Amphora_sp.
ASV_01284	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Gymnodinium_sp.
ASV_01285	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_01286	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Goniomonadales	Goniomonadales_X	Goniomonas	Goniomonas_amphinema
ASV_01287	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Torodiniales	Torodiniaceae	Torodinium	Torodinium_robustum
ASV_01288	Eukaryota	Rhizaria	Cercozoa	Cercozoa_X	Cercozoa_XX	Cercozoa_XXX	Cercozoa_XXXX	Cercozoa_XXXX_sp.
ASV_01289	Eukaryota	Stramenopiles	Pseudofungi	MAST-1	MAST-1C	MAST-1C_X	MAST-1C_XX	MAST-1C_XX_sp.
ASV_01290	Eukaryota	Hacrobia	Telonemia	Telonemia_X	Telonemia_XX	Telonemia-Group-2	Telonemia-Group-2_X	Telonemia-Group-2_X_sp.
ASV_01291	Eukaryota	Stramenopiles	Pseudofungi	Pirsonia_Clade	Pirsonia_Clade_X	Pirsonia_Clade_XX	Pirsonia_Clade__XXX	Pirsonia_Clade__XXX_sp.
ASV_01292	Eukaryota	Opisthokonta	Metazoa	Arthropoda	NA	NA	NA	NA
ASV_01293	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Marimonadida	Marimonadida_X	Marimonadida_XX	Marimonadida_XX_sp.
ASV_01294	Eukaryota	Stramenopiles	Opalozoa	MAST-3	MAST-3I	MAST-3I_X	MAST-3I_XX	MAST-3I_XX_sp.
ASV_01295	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Pseudocalanus	Pseudocalanus_elongatus
ASV_01296	Eukaryota	Stramenopiles	Opalozoa	Bicoecea	Borokales	Borokaceae	Borokaceae_X	Borokaceae_X_sp.
ASV_01297	Eukaryota	Stramenopiles	Pseudofungi	MAST-2	MAST-2D	MAST-2D_X	MAST-2D_XX	MAST-2D_XX_sp.
ASV_01298	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Navicula	Navicula_sp.
ASV_01299	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Gregarinomorphea_X	Gregarinomorphea_XX	Selenidium1	Selenidium1_sp.
ASV_01300	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Gymnodinium_sp.
ASV_01301	Eukaryota	Archaeplastida	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pterospermaceae	Pterosperma	Pterosperma_sp.
